NAME,T,GENE,t0,t1
YAL040C,0,CLN3,1.04,0.19
YHR152W,0,SPO12,0.52,
YIL026C,0,IRR1,-0.29,0.84
YIL050W,0,PCL7,-0.23,-0.23
YIL123W,0,SIM1,-0.98,-0.95
YDL003W,0,MCD1,-1.22,-0.74
YIL131C,0,FKH1,-0.51,-0.73
YJL157C,0,FAR1,2.12,0.13
YJL158C,0,CIS3,-1.92,-2.32
YJL187C,0,SWE1,-0.89,-0.59
YBR133C,0,HSL7,-0.08,-0.73
YJL194W,0,CDC6,-1.53,-0.12
YJR092W,0,BUD4,-0.74,-0.48
YPR120C,0,CLB5,-0.98,-0.38
YHR061C,0,GIC1,-0.29,-0.27
YKL096W,0,CWP1,-1.1,0.26
YKL185W,0,ASH1,0.2,-0.61
YBR083W,0,TEC1,0.75,0.29
YKL209C,0,STE6,0.64,0.07
YLR079W,0,SIC1,-0.66,0.1
YLR103C,0,CDC45,-0.63,-0.19
YLR131C,0,ACE2,-1.54,-0.14
YLR182W,0,SWI6,-0.06,-0.18
YBR010W,0,HHT1,-1.81,-1.94
YLR210W,0,CLB4,0.05,0.01
YLR274W,0,CDC46,0.32,0.35
YLR286C,0,CTS1,1.18,0.92
YLR300W,0,EXG1,-0.05,-1.09
YLR353W,0,BUD8,-0.43,
YKL113C,0,RAD27,-0.9,-0.23
YBR009C,0,HHF1,-2.36,-2.71
YDL055C,0,PSA1,-0.73,-1.06
YGR152C,0,RSR1,-0.53,-0.61
YDL227C,0,HO,-0.16,
YDR146C,0,SWI5,-1.29,-0.7
YDR224C,0,HTB1,-1.51,-1.57
YDR225W,0,HTA1,-1.46,-2.3
YDR461W,0,MFA1,2.36,2.35
YDR507C,0,GIN4,-1.76,-0.34
YDL179W,0,PCL9,-0.99,-0.24
YEL032W,0,MCM3,-0.25,0.17
YER001W,0,MNN1,-2.29,
YER070W,0,RNR1,-1.46,-0.76
YER095W,0,RAD51,-0.57,0.42
YER111C,0,SWI4,-1.21,-0.26
YDL127W,0,PCL2,1.83,-0.5
YHL028W,0,WSC4,-0.31,
YFL026W,0,STE2,2.19,1.44
YGL032C,0,AGA2,3.49,2.57
YGL038C,0,OCH1,-0.79,-0.15
YGL116W,0,CDC20,-0.19,-0.19
YDL101C,0,DUN1,-0.89,-0.18
YGL201C,0,MCM6,-0.23,-0.18
YGR014W,0,MSB2,-0.65,-0.81
YPR159W,0,KRE6,0.17,0.16
YGR041W,0,BUD9,-1.22,
YGR092W,0,DBF2,0.17,0.02
YDL056W,0,MBP1,-0.39,-0.21
YGR099W,0,TEL2,-0.22,
YGR109C,0,CLB6,-1.79,
YGR143W,0,SKN1,0.51,-0.16
YGL021W,0,ALK1,-1.04,-0.51
YML064C,0,TEM1,-0.09,-0.76
YOL012C,0,HTA3,-1.18,
YMR307W,0,GAS1,-1.12,-1.64
YNL068C,0,FKH2,-0.67,-0.52
YBL002W,0,HTB2,-2.06,-1.98
YBL023C,0,MCM2,-0.32,-0.24
YMR078C,0,CTF18,-0.96,-0.52
YPL256C,0,CLN2,-1.41,-0.69
YNL192W,0,CHS1,2.04,0.88
YPL116W,0,HOS3,-0.47,-0.18
YMR076C,0,PDS5,-0.2,-0.11
YNL289W,0,PCL1,0.04,0.62
YNL172W,0,APC1,-0.61,-0.28
YPR034W,0,ARP7,-0.12,-0.77
YOR074C,0,CDC21,-1.14,-0.31
YNL145W,0,MFA2,2.06,1.36
YBL003C,0,HTA2,-1.61,-2.55
YPR119W,0,CLB2,-2.36,
YPR075C,0,OPY2,-0.01,0.13
YNL327W,0,EGT2,-1.46,
YMR199W,0,CLN1,-1.56,-0.93
YMR043W,0,MCM1,-0.27,0.74
YPL127C,0,HHO1,-1.99,-1.87
YNR044W,0,AGA1,4.44,3.07
YML064C,1,TEM1,-0.76,0.02
YGR092W,1,DBF2,0.02,-0.03
YNL327W,1,EGT2,,-1.14
YGR041W,1,BUD9,,0.06
YDL056W,1,MBP1,-0.21,-0.46
YGR099W,1,TEL2,,-0.15
YGR143W,1,SKN1,-0.16,0.11
YGR109C,1,CLB6,,2.13
YGR152C,1,RSR1,-0.61,0.76
YNL192W,1,CHS1,0.88,-0.03
YHL028W,1,WSC4,,-0.15
YDL055C,1,PSA1,-1.06,-0.79
YHR061C,1,GIC1,-0.27,0.03
YNL172W,1,APC1,-0.28,-0.18
YHR152W,1,SPO12,,-0.36
YPR075C,1,OPY2,0.13,0.09
YIL026C,1,IRR1,0.84,0.09
YBL003C,1,HTA2,-2.55,-1.09
YIL050W,1,PCL7,-0.23,-0.37
YNL289W,1,PCL1,0.62,0.44
YGR014W,1,MSB2,-0.81,0.24
YDL101C,1,DUN1,-0.18,0.68
YPR159W,1,KRE6,0.16,0.17
YAL040C,1,CLN3,0.19,0.47
YOL012C,1,HTA3,,-0.94
YDR146C,1,SWI5,-0.7,-0.33
YDR224C,1,HTB1,-1.57,-1.35
YPR034W,1,ARP7,-0.77,-0.25
YDR225W,1,HTA1,-2.3,-1.41
YDR461W,1,MFA1,2.35,2.3
YDR507C,1,GIN4,-0.34,0.18
YDL179W,1,PCL9,-0.24,-0.74
YPL256C,1,CLN2,-0.69,1.39
YEL032W,1,MCM3,0.17,0.5
YER001W,1,MNN1,,0.77
YNR044W,1,AGA1,3.07,1.8
YPL127C,1,HHO1,-1.87,-0.32
YER095W,1,RAD51,0.42,1.03
YER111C,1,SWI4,-0.26,1.36
YDL127W,1,PCL2,-0.5,-0.24
YPL116W,1,HOS3,-0.18,-0.21
YFL026W,1,STE2,1.44,0.13
YGL021W,1,ALK1,-0.51,-1.39
YOR074C,1,CDC21,-0.31,0.57
YGL032C,1,AGA2,2.57,1.71
YGL038C,1,OCH1,-0.15,0.57
YBL002W,1,HTB2,-1.98,-1.64
YGL116W,1,CDC20,-0.19,-0.49
YGL201C,1,MCM6,-0.18,0.12
YER070W,1,RNR1,-0.76,1.08
YDL003W,1,MCD1,-0.74,1.34
YBR133C,1,HSL7,-0.73,-0.32
YIL123W,1,SIM1,-0.95,-0.98
YJL194W,1,CDC6,-0.12,0.55
YMR076C,1,PDS5,-0.11,0.28
YPR120C,1,CLB5,-0.38,0.92
YMR307W,1,GAS1,-1.64,-0.41
YJR092W,1,BUD4,-0.48,-1.1
YLR210W,1,CLB4,0.01,-0.27
YKL096W,1,CWP1,0.26,0.24
YMR199W,1,CLN1,-0.93,1.29
YKL113C,1,RAD27,-0.23,0.51
YLR182W,1,SWI6,-0.18,-0.14
YPR119W,1,CLB2,,-1.96
YBR083W,1,TEC1,0.29,-0.57
YBR010W,1,HHT1,-1.94,-1.33
YKL185W,1,ASH1,-0.61,0.13
YLR131C,1,ACE2,-0.14,-1.05
YKL209C,1,STE6,0.07,0.14
YMR078C,1,CTF18,-0.52,0.38
YLR079W,1,SIC1,0.1,-0.57
YBL023C,1,MCM2,-0.24,0.31
YLR274W,1,CDC46,0.35,0.8
YDL227C,1,HO,,0.17
YLR103C,1,CDC45,-0.19,0.91
YJL158C,1,CIS3,-2.32,-0.87
YJL157C,1,FAR1,0.13,-0.85
YBR009C,1,HHF1,-2.71,-1.46
YLR300W,1,EXG1,-1.09,-0.97
YIL131C,1,FKH1,-0.73,-0.46
YLR286C,1,CTS1,0.92,0.5
YMR043W,1,MCM1,0.74,-0.49
YNL068C,1,FKH2,-0.52,-0.67
YJL187C,1,SWE1,-0.59,0.01
YNL145W,1,MFA2,1.36,0.59
YLR353W,1,BUD8,,-0.2
YLR131C,2,ACE2,-1.05,-1.16
YLR103C,2,CDC45,0.91,0.75
YFL026W,2,STE2,0.13,-0.63
YLR353W,2,BUD8,-0.2,0.11
YPL116W,2,HOS3,-0.21,-0.1
YER095W,2,RAD51,1.03,1.35
YDR146C,2,SWI5,-0.33,-0.88
YER111C,2,SWI4,1.36,1.37
YPR034W,2,ARP7,-0.25,-0.54
YPL256C,2,CLN2,1.39,1.98
YDR224C,2,HTB1,-1.35,0.04
YLR274W,2,CDC46,0.8,
YDR461W,2,MFA1,2.3,2.11
YLR286C,2,CTS1,0.5,-0.17
YDR507C,2,GIN4,0.18,1.07
YPR119W,2,CLB2,-1.96,-2.29
YOR074C,2,CDC21,0.57,1.08
YMR043W,2,MCM1,-0.49,
YEL032W,2,MCM3,0.5,0.11
YPL127C,2,HHO1,-0.32,0.57
YER001W,2,MNN1,0.77,1.6
YLR300W,2,EXG1,-0.97,-0.62
YMR076C,2,PDS5,0.28,0.44
YLR182W,2,SWI6,-0.14,-0.13
YER070W,2,RNR1,1.08,1.5
YDR225W,2,HTA1,-1.41,-0.27
YLR210W,2,CLB4,-0.27,0.23
YMR078C,2,CTF18,0.38,0.65
YLR079W,2,SIC1,-0.57,-0.21
YMR307W,2,GAS1,-0.41,-0.1
YGR143W,2,SKN1,0.11,-0.32
YNL192W,2,CHS1,-0.03,-0.6
YPR120C,2,CLB5,0.92,0.97
YGR152C,2,RSR1,0.76,0.8
YJL187C,2,SWE1,0.01,0.56
YJL158C,2,CIS3,-0.87,-0.32
YML064C,2,TEM1,0.02,-0.25
YNL172W,2,APC1,-0.18,-0.07
YHR061C,2,GIC1,0.03,0.13
YNL068C,2,FKH2,-0.67,
YJL157C,2,FAR1,-0.85,-1.41
YHR152W,2,SPO12,-0.36,-0.27
YIL131C,2,FKH1,-0.46,-0.67
YIL026C,2,IRR1,0.09,0.32
YIL123W,2,SIM1,-0.98,-0.17
YIL050W,2,PCL7,-0.37,0.0
YGR109C,2,CLB6,2.13,1.75
YGL021W,2,ALK1,-1.39,-1.04
YJL194W,2,CDC6,0.55,
YNL289W,2,PCL1,0.44,0.13
YGL032C,2,AGA2,1.71,0.46
YKL209C,2,STE6,0.14,-0.46
YGL038C,2,OCH1,0.57,0.64
YNL145W,2,MFA2,0.59,-0.8
YKL185W,2,ASH1,0.13,-0.85
YGL116W,2,CDC20,-0.49,-0.77
YPR159W,2,KRE6,0.17,0.38
YNR044W,2,AGA1,1.8,-0.63
YGL201C,2,MCM6,0.12,0.02
YKL113C,2,RAD27,0.51,1.01
YGR014W,2,MSB2,0.24,0.26
YKL096W,2,CWP1,0.24,-0.26
YNL327W,2,EGT2,-1.14,
YGR041W,2,BUD9,0.06,0.01
YMR199W,2,CLN1,1.29,
YJR092W,2,BUD4,-1.1,-0.83
YGR092W,2,DBF2,-0.03,-0.67
YGR099W,2,TEL2,-0.15,-0.11
YHL028W,2,WSC4,-0.15,-0.46
YPR075C,2,OPY2,0.09,0.64
YDL101C,2,DUN1,0.68,1.05
YDL127W,2,PCL2,-0.24,-0.26
YDL003W,2,MCD1,1.34,1.5
YBR010W,2,HHT1,-1.33,0.01
YOL012C,2,HTA3,-0.94,-0.61
YDL179W,2,PCL9,-0.74,-0.44
YBR133C,2,HSL7,-0.32,-0.42
YBR083W,2,TEC1,-0.57,-0.03
YBL023C,2,MCM2,0.31,0.11
YBL003C,2,HTA2,-1.09,-0.55
YDL227C,2,HO,0.17,-0.28
YDL055C,2,PSA1,-0.79,-0.02
YAL040C,2,CLN3,0.47,-1.03
YDL056W,2,MBP1,-0.46,-0.31
YBR009C,2,HHF1,-1.46,-0.16
YBL002W,2,HTB2,-1.64,-0.21
YOL012C,3,HTA3,-0.61,0.12
YPR120C,3,CLB5,0.97,0.26
YER111C,3,SWI4,1.37,0.54
YGR152C,3,RSR1,0.8,0.53
YKL209C,3,STE6,-0.46,0.2
YGR143W,3,SKN1,-0.32,-0.28
YBL003C,3,HTA2,-0.55,0.98
YGR014W,3,MSB2,0.26,0.11
YDR507C,3,GIN4,1.07,0.37
YDR461W,3,MFA1,2.11,1.75
YMR076C,3,PDS5,0.44,0.5
YDL179W,3,PCL9,-0.44,-0.67
YER070W,3,RNR1,1.5,0.74
YNL172W,3,APC1,-0.07,-0.21
YLR274W,3,CDC46,,-0.45
YGL201C,3,MCM6,0.02,-0.31
YJR092W,3,BUD4,-0.83,-0.51
YPL116W,3,HOS3,-0.1,-0.14
YGR099W,3,TEL2,-0.11,0.38
YLR286C,3,CTS1,-0.17,-1.17
YML064C,3,TEM1,-0.25,0.21
YGR092W,3,DBF2,-0.67,-0.85
YNL289W,3,PCL1,0.13,0.18
YJL158C,3,CIS3,-0.32,0.44
YGR041W,3,BUD9,0.01,-0.62
YLR353W,3,BUD8,0.11,-0.18
YER095W,3,RAD51,1.35,0.64
YER001W,3,MNN1,1.6,0.53
YNL327W,3,EGT2,,-1.29
YKL113C,3,RAD27,1.01,0.52
YKL185W,3,ASH1,-0.85,-0.99
YOR074C,3,CDC21,1.08,1.17
YPR119W,3,CLB2,-2.29,-1.36
YLR300W,3,EXG1,-0.62,0.35
YNL192W,3,CHS1,-0.6,-0.36
YBL002W,3,HTB2,-0.21,1.21
YBR009C,3,HHF1,-0.16,1.51
YKL096W,3,CWP1,-0.26,0.03
YMR043W,3,MCM1,,-0.36
YEL032W,3,MCM3,0.11,-1.11
YNR044W,3,AGA1,-0.63,-0.71
YGR109C,3,CLB6,1.75,0.23
YDL127W,3,PCL2,-0.26,-0.26
YFL026W,3,STE2,-0.63,
YIL123W,3,SIM1,-0.17,0.28
YIL131C,3,FKH1,-0.67,0.57
YNL145W,3,MFA2,-0.8,-0.76
YDL056W,3,MBP1,-0.31,-0.07
YGL021W,3,ALK1,-1.04,-0.78
YAL040C,3,CLN3,-1.03,-0.63
YHR061C,3,GIC1,0.13,0.34
YGL116W,3,CDC20,-0.77,-0.31
YDR224C,3,HTB1,0.04,1.3
YPL256C,3,CLN2,1.98,0.74
