NAME,T,GENE,t0,t1
YAL040C,0,CLN3,-0.13,0.02
YMR076C,0,PDS5,-0.29,0.29
YMR043W,0,MCM1,0.17,-0.09
YDL227C,0,HO,-0.12,-0.11
YML064C,0,TEM1,0.15,0.09
YDR146C,0,SWI5,0.16,0.74
YLR353W,0,BUD8,0.41,0.36
YOL012C,0,HTA3,,
YDR224C,0,HTB1,1.77,0.39
YLR300W,0,EXG1,0.58,0.38
YDR225W,0,HTA1,1.75,1.11
YLR286C,0,CTS1,-1.94,-1.69
YLR274W,0,CDC46,-1.32,-1.86
YLR210W,0,CLB4,0.95,0.24
YDR507C,0,GIN4,-0.12,0.13
YLR182W,0,SWI6,0.69,-1.02
YDL179W,0,PCL9,,
YEL032W,0,MCM3,-1.08,-1.12
YMR078C,0,CTF18,-0.04,0.06
YMR199W,0,CLN1,0.17,0.01
YBR010W,0,HHT1,1.49,0.49
YNL327W,0,EGT2,,-2.32
YBR083W,0,TEC1,-1.01,-1.05
YNL289W,0,PCL1,-0.33,0.39
YBR133C,0,HSL7,0.11,0.47
YNL192W,0,CHS1,,
YNL172W,0,APC1,0.1,0.53
YPR119W,0,CLB2,0.42,0.71
YDL003W,0,MCD1,-0.22,-0.71
YNL145W,0,MFA2,-0.48,-0.58
YDL055C,0,PSA1,0.56,0.83
YNL068C,0,FKH2,,
YDL056W,0,MBP1,-0.07,1.13
YMR307W,0,GAS1,0.47,0.72
YDL101C,0,DUN1,-0.08,-0.28
YDL127W,0,PCL2,-0.32,-0.13
YNR044W,0,AGA1,-1.1,-1.32
YLR131C,0,ACE2,0.64,-0.15
YER001W,0,MNN1,0.79,0.36
YIL131C,0,FKH1,0.84,1.14
YGL201C,0,MCM6,-0.55,-0.22
YIL123W,0,SIM1,1.08,1.09
YGR014W,0,MSB2,0.48,0.84
YIL050W,0,PCL7,0.34,0.21
YGR041W,0,BUD9,-0.56,-0.44
YIL026C,0,IRR1,0.1,-0.96
YGR092W,0,DBF2,-3.15,-0.29
YHR152W,0,SPO12,-1.39,
YHR061C,0,GIC1,0.99,0.92
YPR159W,0,KRE6,0.7,0.58
YGR099W,0,TEL2,0.07,1.05
YHL028W,0,WSC4,0.17,0.79
YGR109C,0,CLB6,-1.06,-0.45
YGR152C,0,RSR1,0.12,-0.51
YGL116W,0,CDC20,-0.31,-0.81
YLR103C,0,CDC45,-0.08,-0.61
YJL157C,0,FAR1,-0.82,-0.84
YGL038C,0,OCH1,-0.43,-0.16
YLR079W,0,SIC1,-0.72,-1.56
YER070W,0,RNR1,,
YKL209C,0,STE6,-0.26,0.3
YPR120C,0,CLB5,0.08,-0.53
YER095W,0,RAD51,0.07,-0.05
