NAME,T,GENE,t0,t1
YAL040C,0,CLN3,0.1,0.12
YJL157C,0,FAR1,-0.02,-0.27
YJL158C,0,CIS3,-0.13,0.79
YDR146C,0,SWI5,-0.78,-0.85
YJL187C,0,SWE1,0.15,0.47
YJL194W,0,CDC6,0.72,0.43
YDL227C,0,HO,-0.04,
YJR092W,0,BUD4,-0.16,-0.38
YKL096W,0,CWP1,-0.76,-0.5
YDL179W,0,PCL9,-0.05,-0.63
YKL113C,0,RAD27,0.68,0.7
YKL185W,0,ASH1,-0.31,-0.49
YDL127W,0,PCL2,-0.18,0.08
YPR034W,0,ARP7,0.06,0.12
YKL209C,0,STE6,0.12,-0.12
YLR079W,0,SIC1,-0.36,-0.5
YDL101C,0,DUN1,0.05,0.57
YLR103C,0,CDC45,0.59,0.77
YLR131C,0,ACE2,-0.6,-0.37
YDL056W,0,MBP1,-0.38,0.05
YLR182W,0,SWI6,-0.02,-0.02
YLR210W,0,CLB4,0.19,0.25
YDL055C,0,PSA1,-0.2,0.64
YLR274W,0,CDC46,-0.12,0.11
YLR286C,0,CTS1,-1.42,-1.7
YDL003W,0,MCD1,0.89,1.14
YLR300W,0,EXG1,0.02,0.55
YPL256C,0,CLN2,0.4,0.68
YPR159W,0,KRE6,-0.05,0.04
YDR224C,0,HTB1,-0.02,0.56
YIL131C,0,FKH1,0.19,0.01
YPR075C,0,OPY2,-0.16,-0.14
YFL026W,0,STE2,0.5,0.43
YPR120C,0,CLB5,0.46,0.41
YGL032C,0,AGA2,0.02,0.15
YGL038C,0,OCH1,-0.16,0.16
YER111C,0,SWI4,0.32,0.04
YGL116W,0,CDC20,-0.5,-0.34
YGL201C,0,MCM6,0.12,0.03
YER095W,0,RAD51,0.01,0.52
YGR014W,0,MSB2,-0.06,0.16
YGR041W,0,BUD9,-0.31,-0.02
YER070W,0,RNR1,0.41,0.99
YGR092W,0,DBF2,-0.4,-0.13
YPR119W,0,CLB2,-1.18,-0.55
YLR353W,0,BUD8,-0.01,-0.36
YER001W,0,MNN1,0.45,0.68
YGR109C,0,CLB6,0.45,0.42
YGR143W,0,SKN1,-0.28,-0.42
YEL032W,0,MCM3,0.5,0.37
YGR152C,0,RSR1,0.91,0.82
YHL028W,0,WSC4,-0.47,-0.78
YDR507C,0,GIN4,0.44,0.77
YHR061C,0,GIC1,0.13,0.05
YHR152W,0,SPO12,-0.01,-0.05
YDR461W,0,MFA1,0.76,0.87
YIL026C,0,IRR1,0.01,0.25
YIL050W,0,PCL7,-0.14,-0.21
YDR225W,0,HTA1,-0.23,0.58
YIL123W,0,SIM1,-0.38,0.43
YGR099W,0,TEL2,-0.01,0.29
YBR133C,0,HSL7,-0.1,-0.27
YGL021W,0,ALK1,-0.79,-0.39
YNL172W,0,APC1,-0.2,-0.1
YBL023C,0,MCM2,0.17,0.21
YBR010W,0,HHT1,-0.1,0.92
YMR307W,0,GAS1,0.85,0.82
YBR083W,0,TEC1,0.11,-0.31
YBL002W,0,HTB2,0.11,0.72
YMR199W,0,CLN1,0.23,0.65
YNR044W,0,AGA1,0.11,0.64
YMR076C,0,PDS5,0.24,0.17
YBL003C,0,HTA2,-0.34,0.43
YNL145W,0,MFA2,0.44,0.22
YOL012C,0,HTA3,-0.61,0.1
YPL127C,0,HHO1,0.14,0.71
YMR043W,0,MCM1,-0.01,-0.11
YOR074C,0,CDC21,0.27,0.48
YMR078C,0,CTF18,0.51,0.79
YNL327W,0,EGT2,-1.29,-1.35
YNL192W,0,CHS1,-0.46,-0.41
YNL068C,0,FKH2,-0.29,0.05
YML064C,0,TEM1,0.24,-0.38
YPL116W,0,HOS3,-0.36,-0.06
YBR009C,0,HHF1,0.14,0.46
YNL289W,0,PCL1,0.22,0.27
YDR461W,1,MFA1,0.87,0.75
YDR224C,1,HTB1,0.56,0.61
YHR061C,1,GIC1,0.05,0.56
YPL116W,1,HOS3,-0.06,0.05
YHR152W,1,SPO12,-0.05,-0.06
YNL172W,1,APC1,-0.1,-0.2
YIL050W,1,PCL7,-0.21,-0.1
YPR075C,1,OPY2,-0.14,0.2
YDR225W,1,HTA1,0.58,1.0
YBL023C,1,MCM2,0.21,0.29
YIL123W,1,SIM1,0.43,0.76
YNL145W,1,MFA2,0.22,-0.09
YPL127C,1,HHO1,0.71,0.88
YIL131C,1,FKH1,0.01,0.22
YNL068C,1,FKH2,0.05,-0.01
YJL157C,1,FAR1,-0.27,-0.31
YIL026C,1,IRR1,0.25,0.18
YDR507C,1,GIN4,0.77,0.89
YGR143W,1,SKN1,-0.42,-0.7
YNL192W,1,CHS1,-0.41,-0.36
YAL040C,1,CLN3,0.12,-0.4
YGL021W,1,ALK1,-0.39,0.28
YGL032C,1,AGA2,0.15,0.26
YOR074C,1,CDC21,0.48,0.21
YER111C,1,SWI4,0.04,-0.08
YPR120C,1,CLB5,0.41,0.25
YGL038C,1,OCH1,0.16,0.21
YGL116W,1,CDC20,-0.34,-0.36
YNR044W,1,AGA1,0.64,0.41
YER095W,1,RAD51,0.52,0.46
YGL201C,1,MCM6,0.03,0.13
YGR014W,1,MSB2,0.16,0.32
YHL028W,1,WSC4,-0.78,-0.13
YBL002W,1,HTB2,0.72,1.18
YGR041W,1,BUD9,-0.02,-0.08
YPR119W,1,CLB2,-0.55,0.63
YNL327W,1,EGT2,-1.35,-0.83
YGR092W,1,DBF2,-0.13,0.02
YER001W,1,MNN1,0.68,0.74
YNL289W,1,PCL1,0.27,0.04
YGR099W,1,TEL2,0.29,0.11
YGR109C,1,CLB6,0.42,0.58
YEL032W,1,MCM3,0.37,0.14
YDR146C,1,SWI5,-0.85,-0.07
YBL003C,1,HTA2,0.43,0.55
YGR152C,1,RSR1,0.82,0.62
YER070W,1,RNR1,0.99,0.82
YPR159W,1,KRE6,0.04,0.14
YKL113C,1,RAD27,0.7,0.55
YLR103C,1,CDC45,0.77,0.69
YLR286C,1,CTS1,-1.7,-2.04
YMR199W,1,CLN1,0.65,0.48
YJL158C,1,CIS3,0.79,0.45
