NAME,T,GENE,t0,t1
YAL013W,0,DEP1,-0.49,-0.12
YNL097C,0,PHO23,-0.2,-0.23
YMR039C,0,SUB1,-0.05,-0.06
YLR295C,0,ATP14,-0.23,-0.47
YLR229C,0,CDC42,-0.42,-0.38
YDR146C,0,SWI5,-1.82,-1.35
YPL031C,0,PHO85,0.34,-0.58
YLR131C,0,ACE2,-0.92,-1.31
YNL068C,0,FKH2,-0.31,-0.19
YDR207C,0,UME6,-0.87,0.14
YJL099W,0,CHS6,0.24,-1.03
YDR310C,0,SUM1,0.19,0.04
YHR178W,0,STB5,-0.18,-1.08
YGR044C,0,RME1,0.54,-0.73
YDR335W,0,MSN5,-0.08,-0.11
YGL167C,0,PMR1,-0.18,-0.03
YFR034C,0,PHO4,-0.74,-0.31
YLR103C,0,CDC45,-0.74,0.32
YOL001W,0,PHO80,-0.06,0.4
YLR182W,0,SWI6,-0.73,-0.42
YER111C,0,SWI4,-0.21,0.19
YBL008W,0,HIR1,0.21,0.33
YOL004W,0,SIN3,0.06,0.01
YOR377W,0,ATF1,-0.42,0.21
YDR335W,1,MSN5,-0.11,-0.75
YOL004W,1,SIN3,0.01,0.07
YDR146C,1,SWI5,-1.35,-0.65
YLR182W,1,SWI6,-0.42,0.01
YER111C,1,SWI4,0.19,0.86
YLR131C,1,ACE2,-1.31,-0.96
YPL031C,1,PHO85,-0.58,-0.46
YGL167C,1,PMR1,-0.03,-0.04
YAL013W,1,DEP1,-0.12,-0.44
YFR034C,1,PHO4,-0.31,0.21
YJL099W,1,CHS6,-1.03,-0.57
YOR377W,1,ATF1,0.21,0.93
YDR310C,1,SUM1,0.04,-0.26
YHR178W,1,STB5,-1.08,-1.11
YGR044C,1,RME1,-0.73,-1.33
YLR103C,1,CDC45,0.32,1.62
YLR229C,1,CDC42,-0.38,0.26
YDR207C,1,UME6,0.14,-0.39
YBL008W,1,HIR1,0.33,0.58
YNL097C,1,PHO23,-0.23,0.18
YLR295C,1,ATP14,-0.47,-0.5
YNL068C,1,FKH2,-0.19,-0.91
YOL001W,1,PHO80,0.4,0.18
YMR039C,1,SUB1,-0.06,-0.09
YGL167C,2,PMR1,-0.04,-0.07
YNL068C,2,FKH2,-0.91,-0.03
YDR207C,2,UME6,-0.39,0.23
YGR044C,2,RME1,-1.33,-1.02
YMR039C,2,SUB1,-0.09,-0.23
YOR377W,2,ATF1,0.93,0.65
YPL031C,2,PHO85,-0.46,-0.45
YJL099W,2,CHS6,-0.57,0.0
YDR310C,2,SUM1,-0.26,-0.01
YHR178W,2,STB5,-1.11,0.19
YLR103C,2,CDC45,1.62,0.88
YNL097C,2,PHO23,0.18,-0.1
YOL001W,2,PHO80,0.18,0.35
YDR146C,2,SWI5,-0.65,-0.67
YDR335W,2,MSN5,-0.75,-0.28
YOL004W,2,SIN3,0.07,0.22
YER111C,2,SWI4,0.86,0.04
YLR229C,2,CDC42,0.26,-0.12
YAL013W,2,DEP1,-0.44,-0.82
YLR182W,2,SWI6,0.01,0.28
YLR295C,2,ATP14,-0.5,-0.4
YFR034C,2,PHO4,0.21,0.44
YLR131C,2,ACE2,-0.96,-0.42
YBL008W,2,HIR1,0.58,-0.1
YDR310C,3,SUM1,-0.01,0.36
YER111C,3,SWI4,0.04,-0.35
YNL068C,3,FKH2,-0.03,0.16
YPL031C,3,PHO85,-0.45,-0.57
YFR034C,3,PHO4,0.44,0.38
YGR044C,3,RME1,-1.02,-0.6
YDR335W,3,MSN5,-0.28,0.22
YGL167C,3,PMR1,-0.07,0.02
YOR377W,3,ATF1,0.65,0.38
YAL013W,3,DEP1,-0.82,0.67
YMR039C,3,SUB1,-0.23,-0.59
YLR131C,3,ACE2,-0.42,0.19
YHR178W,3,STB5,0.19,0.47
YOL004W,3,SIN3,0.22,0.32
YLR182W,3,SWI6,0.28,0.32
YDR146C,3,SWI5,-0.67,-0.4
YOL001W,3,PHO80,0.35,-0.07
YBL008W,3,HIR1,-0.1,0.24
YLR295C,3,ATP14,-0.4,0.15
YLR103C,3,CDC45,0.88,0.46
YJL099W,3,CHS6,0.0,-0.06
YLR229C,3,CDC42,-0.12,0.14
YDR207C,3,UME6,0.23,-0.13
YNL097C,3,PHO23,-0.1,0.05
YLR295C,4,ATP14,0.15,-0.05
YER111C,4,SWI4,-0.35,-0.39
YLR182W,4,SWI6,0.32,0.29
YFR034C,4,PHO4,0.38,0.04
YMR039C,4,SUB1,-0.59,-0.22
YLR131C,4,ACE2,0.19,0.36
YLR103C,4,CDC45,0.46,-0.15
YOL004W,4,SIN3,0.32,0.38
YGL167C,4,PMR1,0.02,-0.04
YPL031C,4,PHO85,-0.57,-0.18
YOR377W,4,ATF1,0.38,0.4
YGR044C,4,RME1,-0.6,0.0
YJL099W,4,CHS6,-0.06,0.86
YOL001W,4,PHO80,-0.07,-0.15
YNL068C,4,FKH2,0.16,0.34
YLR229C,4,CDC42,0.14,-0.22
YHR178W,4,STB5,0.47,0.36
YDR146C,4,SWI5,-0.4,0.34
YBL008W,4,HIR1,0.24,0.22
YDR310C,4,SUM1,0.36,0.05
YDR335W,4,MSN5,0.22,0.41
YDR207C,4,UME6,-0.13,0.21
YNL097C,4,PHO23,0.05,0.08
YAL013W,4,DEP1,0.67,-0.62
YLR131C,5,ACE2,0.36,0.63
YDR310C,5,SUM1,0.05,-0.1
YOL004W,5,SIN3,0.38,0.22
YMR039C,5,SUB1,-0.22,0.09
YHR178W,5,STB5,0.36,0.04
YLR229C,5,CDC42,-0.22,0.05
YGR044C,5,RME1,0.0,-0.58
YGL167C,5,PMR1,-0.04,0.06
YDR146C,5,SWI5,0.34,0.57
YNL068C,5,FKH2,0.34,0.46
YPL031C,5,PHO85,-0.18,-0.4
YDR335W,5,MSN5,0.41,-0.31
YFR034C,5,PHO4,0.04,-0.01
YBL008W,5,HIR1,0.22,-0.15
YOR377W,5,ATF1,0.4,0.2
YJL099W,5,CHS6,0.86,0.82
YER111C,5,SWI4,-0.39,-0.51
YDR207C,5,UME6,0.21,-0.05
YLR103C,5,CDC45,-0.15,-0.44
YAL013W,5,DEP1,-0.62,0.38
YLR182W,5,SWI6,0.29,0.09
YOL001W,5,PHO80,-0.15,-0.19
YLR295C,5,ATP14,-0.05,0.06
YNL097C,5,PHO23,0.08,0.19
YOL001W,6,PHO80,-0.19,-0.18
YOL004W,6,SIN3,0.22,-0.01
YBL008W,6,HIR1,-0.15,0.57
YLR131C,6,ACE2,0.63,0.55
YGR044C,6,RME1,-0.58,-1.05
YDR207C,6,UME6,-0.05,0.24
YDR146C,6,SWI5,0.57,0.47
YHR178W,6,STB5,0.04,0.22
YJL099W,6,CHS6,0.82,0.1
YDR310C,6,SUM1,-0.1,-0.01
YLR103C,6,CDC45,-0.44,-1.19
YLR182W,6,SWI6,0.09,0.05
YNL097C,6,PHO23,0.19,0.29
YOR377W,6,ATF1,0.2,0.1
YER111C,6,SWI4,-0.51,-0.2
YAL013W,6,DEP1,0.38,0.6
YPL031C,6,PHO85,-0.4,-0.32
YLR295C,6,ATP14,0.06,-0.55
YDR335W,6,MSN5,-0.31,-0.13
YFR034C,6,PHO4,-0.01,-0.01
YLR229C,6,CDC42,0.05,-0.34
YMR039C,6,SUB1,0.09,0.05
YNL068C,6,FKH2,0.46,0.51
YGL167C,6,PMR1,0.06,0.02
YDR310C,7,SUM1,-0.01,-0.1
YOL001W,7,PHO80,-0.18,0.13
YJL099W,7,CHS6,0.1,0.17
YLR182W,7,SWI6,0.05,-0.32
YMR039C,7,SUB1,0.05,-0.02
YDR207C,7,UME6,0.24,0.03
YER111C,7,SWI4,-0.2,0.0
YLR295C,7,ATP14,-0.55,0.09
YLR103C,7,CDC45,-1.19,-0.9
YOL004W,7,SIN3,-0.01,-0.14
YNL068C,7,FKH2,0.51,0.5
YDR335W,7,MSN5,-0.13,0.1
YBL008W,7,HIR1,0.57,0.22
YHR178W,7,STB5,0.22,0.04
YGL167C,7,PMR1,0.02,0.23
YOR377W,7,ATF1,0.1,-0.25
YGR044C,7,RME1,-1.05,0.01
YNL097C,7,PHO23,0.29,0.18
YDR146C,7,SWI5,0.47,0.51
YAL013W,7,DEP1,0.6,0.0
YLR131C,7,ACE2,0.55,0.72
YPL031C,7,PHO85,-0.32,0.13
YFR034C,7,PHO4,-0.01,-0.22
YLR229C,7,CDC42,-0.34,-0.06
YDR207C,8,UME6,0.03,-0.06
YDR146C,8,SWI5,0.51,0.34
YLR131C,8,ACE2,0.72,0.51
YMR039C,8,SUB1,-0.02,0.44
YLR295C,8,ATP14,0.09,0.74
YLR229C,8,CDC42,-0.06,0.41
YLR103C,8,CDC45,-0.9,0.6
YBL008W,8,HIR1,0.22,-0.38
YNL097C,8,PHO23,0.18,-0.39
YNL068C,8,FKH2,0.5,-0.31
YOL001W,8,PHO80,0.13,0.17
YLR182W,8,SWI6,-0.32,-0.1
YOR377W,8,ATF1,-0.25,-0.32
YGL167C,8,PMR1,0.23,0.0
YJL099W,8,CHS6,0.17,-0.05
YOL004W,8,SIN3,-0.14,0.1
YER111C,8,SWI4,0.0,0.92
YHR178W,8,STB5,0.04,-0.29
YDR310C,8,SUM1,-0.1,-0.08
YGR044C,8,RME1,0.01,1.33
YAL013W,8,DEP1,0.0,0.63
YFR034C,8,PHO4,-0.22,-0.08
YPL031C,8,PHO85,0.13,0.5
YDR335W,8,MSN5,0.1,-0.18
YAL013W,9,DEP1,0.63,0.14
YLR229C,9,CDC42,0.41,
YLR131C,9,ACE2,0.51,-0.31
YLR182W,9,SWI6,-0.1,0.12
YPL031C,9,PHO85,0.5,0.12
YGR044C,9,RME1,1.33,1.34
YDR310C,9,SUM1,-0.08,0.11
YGL167C,9,PMR1,0.0,0.14
YNL068C,9,FKH2,-0.31,-0.44
YOL004W,9,SIN3,0.1,-0.04
YOR377W,9,ATF1,-0.32,-0.44
YDR146C,9,SWI5,0.34,0.12
YBL008W,9,HIR1,-0.38,0.06
YOL001W,9,PHO80,0.17,0.13
YJL099W,9,CHS6,-0.05,-0.8
YNL097C,9,PHO23,-0.39,-0.09
YHR178W,9,STB5,-0.29,-0.04
YDR207C,9,UME6,-0.06,-0.02
YFR034C,9,PHO4,-0.08,-0.38
YDR335W,9,MSN5,-0.18,0.37
YLR103C,9,CDC45,0.6,0.85
YMR039C,9,SUB1,0.44,0.3
YER111C,9,SWI4,0.92,0.77
YLR295C,9,ATP14,0.74,0.17
YGL167C,10,PMR1,0.14,-0.04
YMR039C,10,SUB1,0.3,0.06
YLR229C,10,CDC42,,0.14
YNL068C,10,FKH2,-0.44,-0.07
YDR335W,10,MSN5,0.37,0.05
YNL097C,10,PHO23,-0.09,0.62
YFR034C,10,PHO4,-0.38,-0.07
YBL008W,10,HIR1,0.06,-0.06
YLR295C,10,ATP14,0.17,
YER111C,10,SWI4,0.77,0.41
YJL099W,10,CHS6,-0.8,-0.26
YGR044C,10,RME1,1.34,1.0
