NAME,T,GENE,t0,t1
YAL013W,0,DEP1,0.0,-0.23
YMR039C,0,SUB1,-0.1,-0.35
YDR207C,0,UME6,0.01,-0.19
YLR295C,0,ATP14,0.1,-0.05
YDR310C,0,SUM1,-0.09,-0.03
YOR377W,0,ATF1,-0.26,-0.15
YDR335W,0,MSN5,-0.27,-0.1
YLR229C,0,CDC42,-0.07,0.11
YDR146C,0,SWI5,-0.78,-0.85
YPL031C,0,PHO85,-0.17,-0.26
YLR182W,0,SWI6,-0.02,-0.02
YFR034C,0,PHO4,0.19,-0.59
YLR131C,0,ACE2,-0.6,-0.37
YGL167C,0,PMR1,-0.04,-0.1
YGR044C,0,RME1,-0.64,-0.64
YLR103C,0,CDC45,0.59,0.77
YHR178W,0,STB5,-0.26,-0.55
YER111C,0,SWI4,0.32,0.04
YNL068C,0,FKH2,-0.29,0.05
YJL099W,0,CHS6,0.24,-0.01
YBL008W,0,HIR1,0.38,-0.08
YOL004W,0,SIN3,-0.32,-0.23
YNL097C,0,PHO23,0.11,-0.06
YOL001W,0,PHO80,0.23,0.24
YNL097C,1,PHO23,-0.06,-0.06
YER111C,1,SWI4,0.04,-0.08
YPL031C,1,PHO85,-0.26,-0.01
YJL099W,1,CHS6,-0.01,0.06
YLR229C,1,CDC42,0.11,-0.07
YOR377W,1,ATF1,-0.15,0.02
YDR310C,1,SUM1,-0.03,0.36
YFR034C,1,PHO4,-0.59,0.03
YOL001W,1,PHO80,0.24,0.11
YLR295C,1,ATP14,-0.05,-0.15
YLR131C,1,ACE2,-0.37,-0.32
YDR335W,1,MSN5,-0.1,-0.02
YLR182W,1,SWI6,-0.02,-0.06
YOL004W,1,SIN3,-0.23,-0.17
YBL008W,1,HIR1,-0.08,0.05
YGL167C,1,PMR1,-0.1,0.15
YNL068C,1,FKH2,0.05,-0.01
YMR039C,1,SUB1,-0.35,-0.42
YHR178W,1,STB5,-0.55,-0.15
YLR103C,1,CDC45,0.77,0.69
YGR044C,1,RME1,-0.64,-0.89
YAL013W,1,DEP1,-0.23,0.0
YDR207C,1,UME6,-0.19,-0.21
YDR146C,1,SWI5,-0.85,-0.07
YJL099W,2,CHS6,0.06,-0.1
YHR178W,2,STB5,-0.15,-0.02
YAL013W,2,DEP1,0.0,0.21
YOL004W,2,SIN3,-0.17,0.3
YLR182W,2,SWI6,-0.06,0.1
YGR044C,2,RME1,-0.89,-0.61
