NAME,T,GENE,t0,t1
YER111C,0,SWI4,0.08,-0.42
YDR310C,0,SUM1,-0.03,-0.01
YDR146C,0,SWI5,0.16,0.74
YNL068C,0,FKH2,,
YBL008W,0,HIR1,0.0,0.16
YLR103C,0,CDC45,-0.08,-0.61
YLR229C,0,CDC42,0.32,0.7
YLR229C,1,CDC42,0.7,0.36
YLR103C,1,CDC45,-0.61,-0.36
YDR146C,1,SWI5,0.74,0.72
YDR310C,1,SUM1,-0.01,-0.25
YER111C,1,SWI4,-0.42,0.03
YBL008W,1,HIR1,0.16,-0.43
YNL068C,1,FKH2,,
YLR229C,2,CDC42,0.36,0.3
YDR146C,2,SWI5,0.72,1.0
YDR310C,2,SUM1,-0.25,0.45
YLR103C,2,CDC45,-0.36,-0.79
YNL068C,2,FKH2,,
YBL008W,2,HIR1,-0.43,0.32
YER111C,2,SWI4,0.03,0.01
YLR229C,3,CDC42,0.3,-0.02
YLR103C,3,CDC45,-0.79,-0.31
YDR310C,3,SUM1,0.45,0.19
YNL068C,3,FKH2,,
YER111C,3,SWI4,0.01,0.01
YDR146C,3,SWI5,1.0,0.77
YBL008W,3,HIR1,0.32,-0.06
YDR146C,4,SWI5,0.77,0.3
YNL068C,4,FKH2,,
YLR229C,4,CDC42,-0.02,0.28
YBL008W,4,HIR1,-0.06,0.12
YER111C,4,SWI4,0.01,-0.04
YDR310C,4,SUM1,0.19,-0.29
YLR103C,4,CDC45,-0.31,-0.33
YER111C,5,SWI4,-0.04,0.59
YBL008W,5,HIR1,0.12,0.09
YDR310C,5,SUM1,-0.29,0.22
YDR146C,5,SWI5,0.3,-0.56
YLR103C,5,CDC45,-0.33,-0.04
YNL068C,5,FKH2,,
YLR229C,5,CDC42,0.28,0.09
YER111C,6,SWI4,0.59,0.13
YBL008W,6,HIR1,0.09,0.0
YLR103C,6,CDC45,-0.04,0.42
YLR229C,6,CDC42,0.09,-0.06
YDR146C,6,SWI5,-0.56,-0.78
YDR310C,6,SUM1,0.22,0.08
YNL068C,6,FKH2,,
YLR103C,7,CDC45,0.42,0.25
YER111C,7,SWI4,0.13,0.22
YBL008W,7,HIR1,0.0,0.16
YNL068C,7,FKH2,,
YDR310C,7,SUM1,0.08,
YLR229C,7,CDC42,-0.06,0.12
YDR146C,7,SWI5,-0.78,-1.28
YLR229C,8,CDC42,0.12,0.1
YLR103C,8,CDC45,0.25,0.45
YNL068C,8,FKH2,,
YBL008W,8,HIR1,0.16,0.41
YER111C,8,SWI4,0.22,-0.24
YDR310C,8,SUM1,,0.28
YDR146C,8,SWI5,-1.28,-0.34
YLR103C,9,CDC45,0.45,0.5
YBL008W,9,HIR1,0.41,0.19
YDR310C,9,SUM1,0.28,-0.03
YNL068C,9,FKH2,,
YDR146C,9,SWI5,-0.34,-0.69
YER111C,9,SWI4,-0.24,0.17
YLR229C,9,CDC42,0.1,0.01
YLR103C,10,CDC45,0.5,0.28
YDR310C,10,SUM1,-0.03,-0.13
YNL068C,10,FKH2,,
YDR146C,10,SWI5,-0.69,0.19
YBL008W,10,HIR1,0.19,0.17
YER111C,10,SWI4,0.17,-0.49
YLR229C,10,CDC42,0.01,-0.14
YNL068C,11,FKH2,,
YDR146C,11,SWI5,0.19,0.51
YDR310C,11,SUM1,-0.13,-0.54
YLR229C,11,CDC42,-0.14,-0.04
YER111C,11,SWI4,-0.49,-0.14
YLR103C,11,CDC45,0.28,-0.53
YBL008W,11,HIR1,0.17,-0.45
YER111C,12,SWI4,-0.14,-0.59
YDR146C,12,SWI5,0.51,0.66
YNL068C,12,FKH2,,
YLR103C,12,CDC45,-0.53,-0.18
YLR229C,12,CDC42,-0.04,0.48
YDR310C,12,SUM1,-0.54,0.02
YBL008W,12,HIR1,-0.45,0.2
YLR229C,13,CDC42,0.48,0.13
YDR310C,13,SUM1,0.02,-0.58
YNL068C,13,FKH2,,
YER111C,13,SWI4,-0.59,-0.04
YDR146C,13,SWI5,0.66,0.34
YLR103C,13,CDC45,-0.18,-0.72
YBL008W,13,HIR1,0.2,-0.6
YNL068C,14,FKH2,,
YER111C,14,SWI4,-0.04,-0.47
YDR146C,14,SWI5,0.34,0.34
YLR103C,14,CDC45,-0.72,0.15
YDR310C,14,SUM1,-0.58,0.19
YBL008W,14,HIR1,-0.6,0.05
YLR229C,14,CDC42,0.13,-0.08
YER111C,15,SWI4,-0.47,-0.49
YDR146C,15,SWI5,0.34,1.49
YDR310C,15,SUM1,0.19,0.02
YLR229C,15,CDC42,-0.08,-0.59
YNL068C,15,FKH2,,
YLR103C,15,CDC45,0.15,-0.16
YBL008W,15,HIR1,0.05,-0.16
YDR146C,16,SWI5,1.49,0.75
YLR229C,16,CDC42,-0.59,-0.29
YNL068C,16,FKH2,,
YDR310C,16,SUM1,0.02,0.78
YBL008W,16,HIR1,-0.16,0.69
YLR103C,16,CDC45,-0.16,0.39
YER111C,16,SWI4,-0.49,0.01
YLR229C,17,CDC42,-0.29,-0.32
YER111C,17,SWI4,0.01,0.3
YDR146C,17,SWI5,0.75,-0.1
YNL068C,17,FKH2,,-0.28
YDR310C,17,SUM1,0.78,-0.41
YBL008W,17,HIR1,0.69,-0.55
YLR103C,17,CDC45,0.39,0.13
